visit_date,variant,sessions,clicks,conversions,revenue,cost,profit,click_rate,conversion_rate,revenue_per_session,profit_per_session,roi
2025-12-10,A,44,7,1,170.35,119.73,50.62,0.1590909090909091,0.022727272727272728,3.871590909090909,1.1504545454545454,0.4227845986803641
2025-12-10,B,50,5,1,166.72,113.33,53.39,0.1,0.02,3.3344,1.0678,0.4711020912379776
2025-12-11,A,40,2,1,12.82,20.06,-7.24,0.05,0.025,0.3205,-0.181,-0.36091724825523436
2025-12-11,B,51,9,2,316.48,214.10999999999999,102.37,0.17647058823529413,0.0392156862745098,6.205490196078432,2.0072549019607844,0.47811872402036343
2025-12-12,A,51,0,0,0.0,16.79,-16.79,0.0,0.0,0.0,-0.3292156862745098,-1.0
2025-12-12,B,53,4,2,280.86,185.39,95.47,0.07547169811320754,0.03773584905660377,5.299245283018868,1.8013207547169812,0.5149684448999406
2025-12-13,A,51,2,1,23.89,30.16,-6.2700000000000005,0.0392156862745098,0.0196078431372549,0.4684313725490196,-0.12294117647058825,-0.20789124668435013
2025-12-13,B,49,5,2,211.12,139.51,71.61,0.10204081632653061,0.04081632653061224,4.308571428571429,1.4614285714285715,0.5132965378825891
2025-12-14,A,59,6,1,38.37,41.88,-3.5100000000000007,0.1016949152542373,0.01694915254237288,0.6503389830508474,-0.059491525423728826,-0.08381088825214901
2025-12-14,B,43,7,0,0.0,14.700000000000001,-14.700000000000001,0.16279069767441862,0.0,0.0,-0.3418604651162791,-1.0
2025-12-15,A,37,0,0,0.0,11.31,-11.31,0.0,0.0,0.0,-0.30567567567567566,-1.0
2025-12-15,B,51,5,1,181.95,129.14000000000001,52.81,0.09803921568627451,0.0196078431372549,3.567647058823529,1.0354901960784315,0.40893603840792936
2025-12-16,A,49,5,0,0.0,18.36,-18.36,0.10204081632653061,0.0,0.0,-0.3746938775510204,-1.0
2025-12-16,B,52,4,0,0.0,16.57,-16.57,0.07692307692307693,0.0,0.0,-0.3186538461538462,-1.0
2025-12-17,A,56,5,0,0.0,17.66,-17.66,0.08928571428571429,0.0,0.0,-0.31535714285714284,-1.0
2025-12-17,B,46,6,1,24.53,29.27,-4.739999999999999,0.13043478260869565,0.021739130434782608,0.5332608695652175,-0.10304347826086956,-0.16194055346771435
2025-12-18,A,46,4,0,0.0,16.02,-16.02,0.08695652173913043,0.0,0.0,-0.3482608695652174,-1.0
2025-12-18,B,48,5,0,0.0,15.540000000000001,-15.540000000000001,0.10416666666666667,0.0,0.0,-0.32375000000000004,-1.0
2025-12-19,A,43,4,1,69.71,53.4,16.31,0.09302325581395349,0.023255813953488372,1.6211627906976742,0.3793023255813953,0.30543071161048685
2025-12-19,B,43,6,1,214.4,138.62,75.78,0.13953488372093023,0.023255813953488372,4.986046511627907,1.762325581395349,0.5466743615639879
2025-12-20,A,55,7,0,0.0,17.46,-17.46,0.12727272727272726,0.0,0.0,-0.3174545454545455,-1.0
2025-12-20,B,58,6,0,0.0,18.63,-18.63,0.10344827586206896,0.0,0.0,-0.32120689655172413,-1.0
2025-12-21,A,49,5,1,192.57,127.01,65.56,0.10204081632653061,0.02040816326530612,3.9299999999999997,1.3379591836734694,0.5161798283599717
2025-12-21,B,47,7,3,174.23,116.75,57.48,0.14893617021276595,0.06382978723404255,3.7070212765957447,1.2229787234042553,0.4923340471092077
2025-12-22,A,42,3,2,252.38,160.48,91.89999999999999,0.07142857142857142,0.047619047619047616,6.009047619047619,2.188095238095238,0.5726570289132602
2025-12-22,B,49,6,2,346.29999999999995,217.0,129.29999999999998,0.12244897959183673,0.04081632653061224,7.0673469387755095,2.638775510204081,0.5958525345622119
2025-12-23,A,43,11,0,0.0,15.21,-15.21,0.2558139534883721,0.0,0.0,-0.3537209302325582,-1.0
2025-12-23,B,47,8,2,311.26,200.25,111.01,0.1702127659574468,0.0425531914893617,6.622553191489361,2.3619148936170213,0.5543570536828965
2025-12-24,A,54,5,1,189.93,128.79,61.13999999999999,0.09259259259259259,0.018518518518518517,3.5172222222222222,1.132222222222222,0.4747262986256697
2025-12-24,B,53,9,4,291.4,189.81,101.59,0.16981132075471697,0.07547169811320754,5.49811320754717,1.9167924528301887,0.535219429956272
2025-12-25,A,44,4,1,64.28,51.4,12.879999999999999,0.09090909090909091,0.022727272727272728,1.460909090909091,0.2927272727272727,0.25058365758754864
2025-12-25,B,55,5,2,145.95000000000002,103.69999999999999,42.25,0.09090909090909091,0.03636363636363636,2.653636363636364,0.7681818181818182,0.40742526518804245
2025-12-26,A,52,8,1,173.98,118.56,55.42000000000001,0.15384615384615385,0.019230769230769232,3.3457692307692306,1.065769230769231,0.46744264507422406
2025-12-26,B,54,6,1,217.08,145.07,72.00999999999999,0.1111111111111111,0.018518518518518517,4.0200000000000005,1.3335185185185183,0.49638105742055555
2025-12-27,A,53,6,2,253.66,174.69,78.97,0.11320754716981132,0.03773584905660377,4.786037735849057,1.49,0.45205793119239795
2025-12-27,B,42,2,2,376.9,240.9,136.0,0.047619047619047616,0.047619047619047616,8.973809523809523,3.238095238095238,0.564549605645496
2025-12-28,A,55,8,1,210.37,139.81,70.56,0.14545454545454545,0.01818181818181818,3.824909090909091,1.282909090909091,0.5046849295472426
2025-12-28,B,50,4,1,33.31,36.85,-3.54,0.08,0.02,0.6662,-0.0708,-0.0960651289009498
2025-12-29,A,49,9,0,0.0,16.26,-16.26,0.1836734693877551,0.0,0.0,-0.3318367346938776,-1.0
2025-12-29,B,41,3,0,0.0,12.98,-12.98,0.07317073170731707,0.0,0.0,-0.31658536585365854,-1.0
2025-12-30,A,43,5,1,19.1,25.79,-6.69,0.11627906976744186,0.023255813953488372,0.44418604651162796,-0.15558139534883722,-0.25940286932919737
2025-12-30,B,37,4,0,0.0,13.46,-13.46,0.10810810810810811,0.0,0.0,-0.3637837837837838,-1.0
2025-12-31,A,53,8,1,130.43,99.94,30.490000000000002,0.1509433962264151,0.018867924528301886,2.460943396226415,0.5752830188679245,0.305083049829898
2025-12-31,B,39,2,1,111.69,81.61,30.08,0.05128205128205128,0.02564102564102564,2.8638461538461537,0.7712820512820512,0.3685822815831393
2026-01-01,A,42,8,5,538.62,336.74,201.88,0.19047619047619047,0.11904761904761904,12.824285714285715,4.806666666666667,0.5995129773712656
2026-01-01,B,57,8,3,327.28,207.28,120.0,0.14035087719298245,0.05263157894736842,5.741754385964912,2.1052631578947367,0.5789270551910459
2026-01-02,A,48,6,0,0.0,15.68,-15.68,0.125,0.0,0.0,-0.32666666666666666,-1.0
2026-01-02,B,55,5,1,140.86,107.15,33.71,0.09090909090909091,0.01818181818181818,2.5610909090909093,0.612909090909091,0.3146056929538031
2026-01-03,A,33,3,0,0.0,11.68,-11.68,0.09090909090909091,0.0,0.0,-0.35393939393939394,-1.0
2026-01-03,B,44,10,0,0.0,13.74,-13.74,0.22727272727272727,0.0,0.0,-0.31227272727272726,-1.0
2026-01-04,A,53,2,2,321.55,203.97,117.58000000000001,0.03773584905660377,0.03773584905660377,6.066981132075472,2.218490566037736,0.5764573221552189
2026-01-04,B,54,9,2,206.46,136.33,70.13,0.16666666666666666,0.037037037037037035,3.8233333333333337,1.2987037037037037,0.5144135553436514
2026-01-05,A,62,3,2,216.13,146.34,69.78999999999999,0.04838709677419355,0.03225806451612903,3.4859677419354838,1.1256451612903224,0.4769031023643569
2026-01-05,B,40,1,0,0.0,13.49,-13.49,0.025,0.0,0.0,-0.33725,-1.0
2026-01-06,A,43,4,1,183.04,119.84,63.2,0.09302325581395349,0.023255813953488372,4.256744186046512,1.4697674418604652,0.527369826435247
2026-01-06,B,50,6,3,185.1,126.81,58.28999999999999,0.12,0.06,3.702,1.1658,0.4596640643482374
2026-01-07,A,43,5,1,98.5,70.7,27.8,0.11627906976744186,0.023255813953488372,2.2906976744186047,0.6465116279069768,0.3932107496463932
2026-01-07,B,38,6,2,172.39,112.32,60.07000000000001,0.15789473684210525,0.05263157894736842,4.536578947368421,1.5807894736842107,0.5348112535612537
2026-01-08,A,41,3,1,17.58,23.31,-5.7299999999999995,0.07317073170731707,0.024390243902439025,0.428780487804878,-0.1397560975609756,-0.24581724581724582
2026-01-08,B,46,3,0,0.0,13.790000000000001,-13.790000000000001,0.06521739130434782,0.0,0.0,-0.2997826086956522,-1.0
2026-01-09,A,55,5,0,0.0,19.19,-19.19,0.09090909090909091,0.0,0.0,-0.34890909090909095,-1.0
2026-01-09,B,47,2,1,191.33,126.08999999999999,65.24000000000001,0.0425531914893617,0.02127659574468085,4.070851063829788,1.3880851063829789,0.5174082004917124
2026-01-10,A,50,5,0,0.0,16.75,-16.75,0.1,0.0,0.0,-0.335,-1.0
2026-01-10,B,46,3,1,162.3,108.85,53.449999999999996,0.06521739130434782,0.021739130434782608,3.5282608695652176,1.1619565217391303,0.49104271933853927
2026-01-11,A,48,5,1,97.27,76.12,21.15,0.10416666666666667,0.020833333333333332,2.0264583333333333,0.440625,0.2778507619548082
2026-01-11,B,50,5,5,751.15,470.16,280.99,0.1,0.1,15.023,5.619800000000001,0.5976476093244852
2026-01-12,A,57,1,1,152.02,107.75,44.269999999999996,0.017543859649122806,0.017543859649122806,2.6670175438596493,0.7766666666666666,0.41085846867749415
2026-01-12,B,47,7,1,201.65,131.38,70.27,0.14893617021276595,0.02127659574468085,4.290425531914893,1.4951063829787232,0.5348607093926016
2026-01-13,A,51,4,4,470.94,291.54,179.4,0.0784313725490196,0.0784313725490196,9.234117647058824,3.5176470588235293,0.6153529532825684
2026-01-13,B,44,5,2,182.45000000000002,128.59,53.86,0.11363636363636363,0.045454545454545456,4.14659090909091,1.2240909090909091,0.4188506104673769
2026-01-14,A,55,6,0,0.0,17.15,-17.15,0.10909090909090909,0.0,0.0,-0.31181818181818177,-1.0
2026-01-14,B,47,4,0,0.0,17.080000000000002,-17.080000000000002,0.0851063829787234,0.0,0.0,-0.363404255319149,-1.0
2026-01-15,A,39,2,0,0.0,15.030000000000001,-15.030000000000001,0.05128205128205128,0.0,0.0,-0.38538461538461544,-1.0
2026-01-15,B,43,9,2,294.17,184.31,109.86,0.20930232558139536,0.046511627906976744,6.841162790697675,2.5548837209302326,0.596060984211383
2026-01-16,A,49,6,1,59.16,51.78,7.380000000000002,0.12244897959183673,0.02040816326530612,1.20734693877551,0.1506122448979592,0.14252607184241023
2026-01-16,B,39,1,2,247.32,156.08,91.24,0.02564102564102564,0.05128205128205128,6.341538461538462,2.3394871794871794,0.5845720143516144
2026-01-17,A,64,11,0,0.0,21.37,-21.37,0.171875,0.0,0.0,-0.33390625,-1.0
2026-01-17,B,56,4,2,314.17,206.9,107.27,0.07142857142857142,0.03571428571428571,5.6101785714285715,1.9155357142857141,0.5184630256162397
2026-01-18,A,56,6,3,344.52,218.29999999999998,126.22,0.10714285714285714,0.05357142857142857,6.152142857142857,2.2539285714285713,0.5781951442968393
2026-01-18,B,48,9,4,335.32,221.51999999999998,113.80000000000001,0.1875,0.08333333333333333,6.985833333333333,2.3708333333333336,0.513723365836042
2026-01-19,A,48,5,1,138.65,95.78999999999999,42.86,0.10416666666666667,0.020833333333333332,2.888541666666667,0.8929166666666667,0.4474371019939451
2026-01-19,B,56,4,2,281.79,182.25,99.54,0.07142857142857142,0.03571428571428571,5.031964285714286,1.7775,0.5461728395061729
2026-01-20,A,38,5,0,0.0,11.95,-11.95,0.13157894736842105,0.0,0.0,-0.3144736842105263,-1.0
2026-01-20,B,67,9,0,0.0,22.39,-22.39,0.13432835820895522,0.0,0.0,-0.33417910447761195,-1.0
2026-01-21,A,60,5,1,128.34,100.38,27.959999999999997,0.08333333333333333,0.016666666666666666,2.1390000000000002,0.46599999999999997,0.2785415421398685
2026-01-21,B,59,11,1,221.84,146.6,75.24,0.1864406779661017,0.01694915254237288,3.7600000000000002,1.2752542372881355,0.5132332878581173
2026-01-22,A,47,1,2,212.61,140.16,72.45,0.02127659574468085,0.0425531914893617,4.523617021276596,1.5414893617021277,0.5169092465753425
2026-01-22,B,41,5,3,408.71999999999997,249.63,159.09,0.12195121951219512,0.07317073170731707,9.968780487804878,3.8802439024390245,0.6373032087489485
2026-01-23,A,48,1,2,91.44,67.19,24.25,0.020833333333333332,0.041666666666666664,1.905,0.5052083333333334,0.3609168030956988
2026-01-23,B,54,8,4,420.05,265.73,154.32,0.14814814814814814,0.07407407407407407,7.778703703703704,2.8577777777777778,0.580739848718624
2026-01-24,A,53,6,2,389.57000000000005,251.89000000000001,137.68,0.11320754716981132,0.03773584905660377,7.350377358490567,2.597735849056604,0.5465877962602723
2026-01-24,B,45,3,0,0.0,14.18,-14.18,0.06666666666666667,0.0,0.0,-0.3151111111111111,-1.0
2026-01-25,A,55,5,2,157.8,108.83,48.97,0.09090909090909091,0.03636363636363636,2.869090909090909,0.8903636363636364,0.44996783975006893
2026-01-25,B,50,4,0,0.0,17.11,-17.11,0.08,0.0,0.0,-0.3422,-1.0
2026-01-26,A,55,4,0,0.0,17.82,-17.82,0.07272727272727272,0.0,0.0,-0.324,-1.0
2026-01-26,B,55,11,1,126.58,98.88,27.699999999999996,0.2,0.01818181818181818,2.3014545454545456,0.5036363636363635,0.28013754045307443
2026-01-27,A,37,6,1,179.34,117.30000000000001,62.04,0.16216216216216217,0.02702702702702703,4.8470270270270275,1.6767567567567567,0.5289002557544756
2026-01-27,B,51,6,1,174.25,116.99000000000001,57.26,0.11764705882352941,0.0196078431372549,3.4166666666666665,1.1227450980392157,0.4894435421830925
2026-01-28,A,35,1,0,0.0,10.91,-10.91,0.02857142857142857,0.0,0.0,-0.3117142857142857,-1.0
2026-01-28,B,49,5,2,213.97,140.23,73.74,0.10204081632653061,0.04081632653061224,4.366734693877551,1.5048979591836733,0.5258503886472224
2026-01-29,A,51,6,1,59.54,50.83,8.709999999999999,0.11764705882352941,0.0196078431372549,1.167450980392157,0.1707843137254902,0.1713554987212276
2026-01-29,B,52,4,0,0.0,17.41,-17.41,0.07692307692307693,0.0,0.0,-0.3348076923076923,-1.0
2026-01-30,A,64,5,0,0.0,20.68,-20.68,0.078125,0.0,0.0,-0.323125,-1.0
2026-01-30,B,62,4,2,234.47,163.2,71.27,0.06451612903225806,0.03225806451612903,3.781774193548387,1.149516129032258,0.436703431372549
